indicador,valor,unidad,periodo,detalle,fuente_url,fecha_acceso
entregas_interior_en_24h,9,% de las entregas en el interior,2023,"Ídem, en 24 hs",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
entregas_interior_en_el_dia,9,% de las entregas en el interior,2023,Plazos de entrega por región,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
envio_a_domicilio_ventas,60,% de las ventas,2023,Logística de entrega declarada por las empresas (fase oferta; no incluye marketplaces ni turismo),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
facturacion_total,7829835,millones de pesos corrientes,2023,"Monto total transaccionado (IVA incluido) declarado por empresas socias, B2C + C2C. 2015 y los decimales de 2021-2023 salen de la serie del informe 2024 (los informes de cada año redondean: 1.520.000, 2.846.000, 7.829.000)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
frecuencia_compra_mensual_o_mas,60,% de encuestados,2023,Compran online al menos una vez al mes (fase demanda),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
ordenes_de_compra,234,millones,2023,Transacciones con pago aprobado o autorizado,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
participacion_facturacion_amba,41,% de la facturación,2023,"Distribución de la facturación por zona declarada por las empresas (fase oferta). 2017 es el valor revisado que publica el informe 2018 (el informe 2017 decía 49 %); desde 2023 AMBA = CABA + GBA y el resto de la provincia de Buenos Aires va aparte. En 2025 AMBA sube 42 -> 52 mientras resto PBA cae 17 -> 5: la suma AMBA + PBA (59 -> 57) es la cantidad estable, el salto parece reasignación entre categorías",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
participacion_facturacion_centro,8,% de la facturación,2023,Centro,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
participacion_facturacion_resto_pba,17,% de la facturación,2023,Resto de la provincia de Buenos Aires,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
retiro_en_punto_de_venta_ventas,30,% de las ventas,2023,"Ídem, retiro en tienda",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
ticket_promedio,33457,pesos corrientes,2023,"Facturación sobre órdenes de compra, tal como lo publica CACE. En 2024 no cierra con los otros dos datos del mismo informe (22.025.462 / 246 = 89.535, no 92.341); los demás años reproducen el cociente",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
unidades_vendidas,489,millones,2023,Productos vendidos (en unidades),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2023_reporte_prensa.pdf,2026-09-09
compradores_nuevos,536632,personas,2024,Personas que compraron online por primera vez en el año (2024: el informe dice 536.632 en una lámina y 536.642 en otra),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
compradores_totales,23784620,personas,2024,Compradores online acumulados; proyección sobre población conectada (INDEC),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
crecimiento_facturacion_interanual,181,%,2024,Variación nominal respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
crecimiento_ordenes_interanual,5,%,2024,Variación de órdenes respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
entregas_amba_en_24h,21,% de las entregas en AMBA,2024,"Ídem, entregadas en 24 hs (sin contar el mismo día)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
entregas_amba_en_el_dia,22,% de las entregas en AMBA,2024,Plazos de entrega por región (fase oferta),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
entregas_hasta_24h,33,% de las entregas,2024,"Entregas en el día más entregas en 24 hs, total país (fase oferta). 2016-2020: suma de las dos categorías; 2021-2025: 'neto hasta 24 hs' del informe",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
entregas_interior_en_24h,10,% de las entregas en el interior,2024,"Ídem, en 24 hs",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
entregas_interior_en_el_dia,11,% de las entregas en el interior,2024,Plazos de entrega por región,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
envio_a_domicilio_ventas,61,% de las ventas,2024,Logística de entrega declarada por las empresas (fase oferta; no incluye marketplaces ni turismo),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
facturacion_total,22025462,millones de pesos corrientes,2024,"Monto total transaccionado (IVA incluido) declarado por empresas socias, B2C + C2C. 2015 y los decimales de 2021-2023 salen de la serie del informe 2024 (los informes de cada año redondean: 1.520.000, 2.846.000, 7.829.000)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
frecuencia_compra_mensual_o_mas,60,% de encuestados,2024,Compran online al menos una vez al mes (fase demanda),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
inflacion_interanual_indec,117.7,%,2024,"Inflación anual según INDEC tal como la cita el informe de CACE (2023 no la cita; IPC 2023 = 211,4 % según INDEC)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
ordenes_de_compra,246,millones,2024,Transacciones con pago aprobado o autorizado,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
pago_tarjeta_credito,74,% de participación,2024,Participación en las ventas (fase oferta),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
participacion_facturacion_amba,42,% de la facturación,2024,"Distribución de la facturación por zona declarada por las empresas (fase oferta). 2017 es el valor revisado que publica el informe 2018 (el informe 2017 decía 49 %); desde 2023 AMBA = CABA + GBA y el resto de la provincia de Buenos Aires va aparte. En 2025 AMBA sube 42 -> 52 mientras resto PBA cae 17 -> 5: la suma AMBA + PBA (59 -> 57) es la cantidad estable, el salto parece reasignación entre categorías",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
participacion_facturacion_centro,8,% de la facturación,2024,Centro,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
participacion_facturacion_cuyo,5,% de la facturación,2024,Cuyo,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
participacion_facturacion_litoral,13,% de la facturación,2024,Litoral,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
participacion_facturacion_noa,7,% de la facturación,2024,NOA,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
participacion_facturacion_resto_pba,17,% de la facturación,2024,Resto de la provincia de Buenos Aires,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
participacion_facturacion_sur,8,% de la facturación,2024,Sur,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
retiro_en_punto_de_venta_ventas,27,% de las ventas,2024,"Ídem, retiro en tienda",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
ticket_promedio,92341,pesos corrientes,2024,"Facturación sobre órdenes de compra, tal como lo publica CACE. En 2024 no cierra con los otros dos datos del mismo informe (22.025.462 / 246 = 89.535, no 92.341); los demás años reproducen el cociente",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
unidades_vendidas,504,millones,2024,Productos vendidos (en unidades),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
busqueda_online_antes_de_compra_fisica,85,% de consumidores,2025,Omnicanalidad,https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-09
compradores_cross_border,47,% de compradores,2025,Compraron productos del exterior; 37 % en 2024,https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-09
compradores_nuevos,1338952,personas,2025,Personas que compraron online por primera vez en el año (2024: el informe dice 536.632 en una lámina y 536.642 en otra),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
compradores_totales,25123572,personas,2025,Compradores online acumulados; proyección sobre población conectada (INDEC),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
crecimiento_facturacion_interanual,55,%,2025,Variación nominal respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
crecimiento_ordenes_interanual,3,%,2025,Variación de órdenes respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
empresas_con_ia,62,% de empresas,2025,Oferta: implementan IA en sus procesos,https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-09
entregas_amba_en_24h,17,% de las entregas en AMBA,2025,"Ídem, entregadas en 24 hs (sin contar el mismo día)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
entregas_amba_en_el_dia,28,% de las entregas en AMBA,2025,Plazos de entrega por región (fase oferta),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
entregas_hasta_24h,37,% de las entregas,2025,"Entregas en el día más entregas en 24 hs, total país (fase oferta). 2016-2020: suma de las dos categorías; 2021-2025: 'neto hasta 24 hs' del informe",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
entregas_interior_en_24h,14,% de las entregas en el interior,2025,"Ídem, en 24 hs",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
entregas_interior_en_el_dia,13,% de las entregas en el interior,2025,Plazos de entrega por región,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
envio_a_domicilio_ventas,58,% de las ventas,2025,Logística de entrega declarada por las empresas (fase oferta; no incluye marketplaces ni turismo),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
facturacion_total,34033238,millones de pesos corrientes,2025,"Monto total transaccionado (IVA incluido) declarado por empresas socias, B2C + C2C. 2015 y los decimales de 2021-2023 salen de la serie del informe 2024 (los informes de cada año redondean: 1.520.000, 2.846.000, 7.829.000)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
frecuencia_compra_mensual_o_mas,60,% de encuestados,2025,Compran online al menos una vez al mes (fase demanda),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
inflacion_interanual_indec,31.5,%,2025,"Inflación anual según INDEC tal como la cita el informe de CACE (2023 no la cita; IPC 2023 = 211,4 % según INDEC)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
ordenes_de_compra,253,millones,2025,Transacciones con pago aprobado o autorizado,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
pago_tarjeta_credito,67,% de participación,2025,Participación en las ventas (fase oferta),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
participacion_facturacion_amba,52,% de la facturación,2025,"Distribución de la facturación por zona declarada por las empresas (fase oferta). 2017 es el valor revisado que publica el informe 2018 (el informe 2017 decía 49 %); desde 2023 AMBA = CABA + GBA y el resto de la provincia de Buenos Aires va aparte. En 2025 AMBA sube 42 -> 52 mientras resto PBA cae 17 -> 5: la suma AMBA + PBA (59 -> 57) es la cantidad estable, el salto parece reasignación entre categorías",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
participacion_facturacion_centro,9,% de la facturación,2025,Centro,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
participacion_facturacion_cuyo,5,% de la facturación,2025,Cuyo,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
participacion_facturacion_litoral,12,% de la facturación,2025,Litoral,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
participacion_facturacion_noa,7,% de la facturación,2025,NOA,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
participacion_facturacion_resto_pba,5,% de la facturación,2025,Resto de la provincia de Buenos Aires,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
participacion_facturacion_sur,9,% de la facturación,2025,Sur,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
retiro_en_punto_de_venta_ventas,29,% de las ventas,2025,"Ídem, retiro en tienda",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
ticket_promedio,134519,pesos corrientes,2025,"Facturación sobre órdenes de compra, tal como lo publica CACE. En 2024 no cierra con los otros dos datos del mismo informe (22.025.462 / 246 = 89.535, no 92.341); los demás años reproducen el cociente",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
unidades_vendidas,645,millones,2025,Productos vendidos (en unidades),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2025_anual_prensa.pdf,2026-09-09
